                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3218,                 1.1964,                 1.5932,                 0.6823,                0.63422,                0.68271,                0.34953,                 1.7288,                 1.4982,                 2.0925,               0.006634,               0.006634,               0.006634
                     36,                 1.3333,                 1.1915,                 1.5842,                0.70951,                0.64702,                0.71774,                0.36943,                 1.7566,                 1.5924,                 2.1471,               0.006535,               0.006535,               0.006535
                     37,                 1.3503,                 1.1973,                 1.6036,                0.64941,                0.65821,                0.70582,                0.37529,                 1.6602,                 1.5245,                 2.0781,               0.006436,               0.006436,               0.006436
                     38,                 1.3629,                 1.2168,                 1.6136,                0.67933,                0.66262,                0.73671,                0.38113,                 1.7272,                 1.4773,                 2.0182,               0.006337,               0.006337,               0.006337
                     39,                 1.3155,                 1.1649,                 1.5663,                0.76532,                0.68486,                0.78071,                0.42167,                 1.6884,                 1.2968,                 2.0909,               0.006238,               0.006238,               0.006238
                     40,                 1.3182,                 1.1231,                  1.577,                0.64446,                0.66645,                 0.7068,                0.35941,                 1.7172,                  1.453,                 2.1114,               0.006139,               0.006139,               0.006139
                     41,                 1.3368,                 1.1331,                 1.5887,                0.70175,                0.65965,                 0.7002,                0.36345,                 1.6368,                 1.6408,                 2.0475,                0.00604,                0.00604,                0.00604
                     42,                 1.3352,                 1.1386,                 1.5829,                0.68787,                 0.7308,                0.76396,                0.40598,                 1.6973,                 1.2544,                 2.0783,               0.005941,               0.005941,               0.005941
                     43,                 1.2874,                 1.1237,                 1.5481,                0.64621,                0.64678,                0.66204,                0.35477,                 1.5995,                 1.5707,                 1.9759,               0.005842,               0.005842,               0.005842
                     44,                 1.2767,                 1.0827,                 1.5638,                0.71781,                0.66706,                0.73201,                0.38778,                  1.682,                 1.4597,                 2.0794,               0.005743,               0.005743,               0.005743
                     45,                 1.3102,                 1.0867,                 1.5511,                0.70659,                 0.7012,                0.74682,                0.40107,                  1.752,                 1.4168,                 2.0794,               0.005644,               0.005644,               0.005644
                     46,                  1.297,                 1.0784,                  1.534,                0.90644,                0.65906,                0.83247,                0.46083,                 1.6093,                 1.2954,                 2.0076,               0.005545,               0.005545,               0.005545
                     47,                 1.2659,                 1.0533,                 1.5354,                0.74366,                0.72582,                0.78816,                 0.4395,                  1.581,                 1.2693,                 1.9928,               0.005446,               0.005446,               0.005446
                     48,                 1.2722,                 1.0487,                 1.5233,                 0.6921,                0.75208,                0.77651,                0.42168,                 1.6779,                 1.2301,                 2.0415,               0.005347,               0.005347,               0.005347
                     49,                 1.2645,                 1.0566,                 1.5237,                0.85113,                0.73847,                0.83266,                0.44108,                 1.6426,                 1.0843,                 2.0448,               0.005248,               0.005248,               0.005248
                     50,                 1.2324,                 1.0283,                 1.5011,                0.78205,                0.77914,                0.82769,                0.45616,                 1.6218,                 1.0756,                 2.0068,               0.005149,               0.005149,               0.005149
                     51,                 1.2605,                0.99695,                 1.5182,                 0.8144,                0.73794,                0.84496,                0.46124,                 1.6139,                 1.1683,                 2.0082,                0.00505,                0.00505,                0.00505
                     52,                 1.2345,                 1.0123,                 1.5084,                0.75731,                0.72566,                0.78117,                0.41172,                 1.6278,                 1.1617,                 2.0291,               0.004951,               0.004951,               0.004951
