                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4346,                0.85475,                 1.2217,                0.75912,                0.73417,                0.81279,                0.43965,                 1.8431,                  1.202,                 1.5889,               0.006535,               0.006535,               0.006535
                     37,                 1.4122,                0.84441,                 1.2063,                0.81546,                0.75795,                0.85824,                0.46723,                 1.8366,                 1.0396,                 1.5633,               0.006436,               0.006436,               0.006436
                     38,                 1.4162,                0.86987,                 1.1926,                0.67084,                0.73573,                0.72281,                0.37993,                  1.933,                 1.2098,                 1.5881,               0.006337,               0.006337,               0.006337
                     39,                 1.3771,                0.83667,                 1.1765,                 0.8542,                0.74986,                 0.8535,                0.46164,                 1.8207,                 1.0659,                 1.5209,               0.006238,               0.006238,               0.006238
                     40,                 1.4039,                0.84362,                 1.2217,                0.81024,                0.72436,                0.82697,                0.45265,                 1.8134,                  1.043,                 1.5348,               0.006139,               0.006139,               0.006139
                     41,                 1.3851,                0.81891,                 1.2015,                0.63675,                0.60691,                0.62525,                0.30521,                 2.1032,                 1.4871,                 1.7132,                0.00604,                0.00604,                0.00604
                     42,                 1.3803,                0.82655,                 1.1859,                0.79542,                0.76196,                0.85626,                0.47193,                 1.7944,                 0.9393,                 1.5296,               0.005941,               0.005941,               0.005941
                     43,                  1.353,                0.82754,                 1.2185,                0.72062,                0.73097,                0.80923,                0.44152,                 1.8479,                 1.0554,                  1.562,               0.005842,               0.005842,               0.005842
                     44,                 1.3478,                 0.7972,                 1.1781,                0.10803,                0.87606,                0.10335,                0.05692,                 1.8306,                 9406.2,                 1.5602,               0.005743,               0.005743,               0.005743
                     45,                 1.3853,                 0.8239,                 1.2069,                0.81212,                0.78041,                0.85687,                 0.4537,                  1.838,                0.93958,                 1.5713,               0.005644,               0.005644,               0.005644
                     46,                 1.3471,                 0.8017,                 1.1947,                0.80696,                0.69486,                0.79273,                0.44339,                 1.8271,                 1.0472,                 1.5186,               0.005545,               0.005545,               0.005545
