                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3897,                0.84609,                 1.2136,                0.79189,                0.74428,                0.82498,                0.44902,                 1.9008,                 1.1699,                 1.6259,               0.006535,               0.006535,               0.006535
                     37,                 1.3914,                  0.834,                  1.196,                 0.7376,                0.70532,                0.78469,                0.42285,                 1.8957,                 1.1734,                 1.6003,               0.006436,               0.006436,               0.006436
                     38,                 1.3658,                0.83277,                 1.1988,                0.87279,                0.75049,                0.86601,                0.47112,                 1.8569,                0.99639,                 1.5801,               0.006337,               0.006337,               0.006337
                     39,                 1.3734,                 0.8467,                 1.2107,                0.77212,                0.71109,                 0.7924,                 0.4306,                 1.8611,                 1.0648,                 1.5567,               0.006238,               0.006238,               0.006238
                     40,                 1.3534,                0.81967,                 1.1824,                 0.8098,                0.69818,                0.79684,                0.43061,                 1.8709,                 1.1484,                 1.5776,               0.006139,               0.006139,               0.006139
                     41,                  1.364,                0.82157,                 1.1944,                0.85014,                0.73228,                0.86017,                0.46235,                 1.8486,                0.99204,                 1.5819,                0.00604,                0.00604,                0.00604
                     42,                 1.3848,                0.82193,                 1.2005,                0.74851,                0.81153,                0.85695,                0.46204,                 1.8607,                 0.9664,                 1.5739,               0.005941,               0.005941,               0.005941
                     43,                 1.3481,                0.81245,                 1.1761,                0.77181,                0.78094,                0.86865,                0.47023,                 1.8309,                 1.3331,                 1.5759,               0.005842,               0.005842,               0.005842
                     44,                 1.3376,                0.81199,                 1.1835,                0.71897,                0.77552,                0.80206,                0.42491,                 1.8887,                 1.1546,                 1.5871,               0.005743,               0.005743,               0.005743
                     45,                 1.3707,                0.80151,                 1.2032,                0.82545,                0.78182,                0.87356,                0.48257,                 1.8122,                0.89241,                 1.5405,               0.005644,               0.005644,               0.005644
                     46,                 1.3733,                0.81591,                 1.1965,                0.81998,                0.76821,                 0.8616,                0.46573,                 1.8499,                0.90852,                 1.5836,               0.005545,               0.005545,               0.005545
                     47,                 1.3449,                0.80127,                 1.1776,                0.80209,                 0.7313,                 0.8353,                0.47197,                 1.7904,                0.94967,                 1.5407,               0.005446,               0.005446,               0.005446
                     48,                 1.3547,                0.80836,                 1.1863,                0.76118,                0.75974,                0.82545,                0.45937,                 1.8411,                0.97476,                 1.5711,               0.005347,               0.005347,               0.005347
                     49,                 1.3408,                0.81418,                 1.1727,                0.77421,                 0.7484,                0.82013,                0.45642,                 1.8145,                0.99525,                 1.5302,               0.005248,               0.005248,               0.005248
                     50,                 1.3483,                0.80109,                 1.1803,                0.83602,                0.76963,                0.87557,                0.48213,                 1.8264,                0.92679,                 1.5658,               0.005149,               0.005149,               0.005149
                     51,                 1.3503,                0.79209,                 1.1962,                0.84168,                0.76808,                0.86991,                0.47945,                 1.8398,                0.92492,                 1.5639,                0.00505,                0.00505,                0.00505
                     52,                 1.3176,                0.78585,                 1.1715,                0.79197,                0.77804,                0.85441,                0.46913,                  1.795,                 0.9544,                  1.523,               0.004951,               0.004951,               0.004951
                     53,                 1.3174,                0.77202,                 1.1676,                0.76958,                0.72034,                0.80152,                0.42489,                 1.8675,                 1.0429,                 1.5639,               0.004852,               0.004852,               0.004852
                     54,                 1.3359,                0.78338,                 1.1846,                 0.8122,                0.76388,                0.84496,                0.46778,                 1.8198,                0.95345,                 1.5724,               0.004753,               0.004753,               0.004753
